filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
1(1)_m4a_000_begin_0_end_10.5.wav,0.683381557,0.00288295,372.234366,844.9653768,552.4612427,0.020027161,-689.7172852,187.5532227,45.15858078,38.41687012,12.72518063,23.06949615,12.54337883,20.80776024,7.159753323,1.517954946,6.184928894,6.325135231,5.042379856,-1.497158289,7.14413166,0.767106354,1.824407578,0.708263218,1.951117635,1.849232912,2
1(1)_m4a_001_1_begin_15.915_end_16.169999999999998.wav,0.723606646,0.003215493,612.1310706,1003.404361,1269.480202,0.019620028,-595.5995483,202.7109528,-13.71130943,39.71182251,13.78918362,21.16205025,-5.052206039,4.237090588,7.661367416,13.50152302,10.41325283,-2.92375803,5.93725872,10.91592026,10.58761978,-9.229862213,5.817590237,4.810766697,-6.57450819,-1.117359281,2
1(1)_m4a_001_begin_10.5_end_15.915.wav,0.669081986,0.003103985,386.390678,832.1758969,562.7471924,0.013575963,-675.6270142,188.514267,39.07009506,34.53437424,12.26786327,20.43836021,14.5869894,20.42090225,9.847979546,3.482871294,5.054444313,5.107014656,3.352884293,-0.659459054,6.787459373,-1.511280417,1.776335478,3.065483809,1.764873266,2.749943256,2
1(1)_m4a_002_begin_16.169999999999998_end_17.055.wav,0.697858572,0.003209758,371.7933359,870.0033842,457.4425331,0.008288261,-664.2032471,183.4902649,38.16881561,47.66333389,10.09751701,26.13240051,16.03709602,12.66282368,4.845322132,-2.746210814,4.674538612,6.340588093,7.404627323,2.942350626,1.99488461,-3.188601255,5.188761234,1.348286986,1.479147553,7.0903759,2
1(1)_m4a_003_begin_17.055_end_26.88.wav,0.68037945,0.003068014,393.741464,894.2339509,604.0063477,0.012182617,-693.2849121,177.1670227,46.12913132,51.08747101,22.38867188,25.27454567,4.39098978,16.20719719,8.664717674,3.511987925,4.491737366,6.57735157,10.03430653,0.041061603,2.453865528,-1.024992824,5.262988091,-1.169053435,0.230401263,5.05780077,2
1(1)_m4a_004_begin_26.88_end_29.88.wav,0.691433966,0.003431353,558.7204366,1074.773053,1098.361588,0.01335144,-627.3851318,178.1394043,2.470179081,44.99060059,31.21261597,22.08613777,-3.052601099,28.17849541,12.12409592,-9.495340347,-3.221446037,13.69162178,14.2365818,-5.959394932,2.653472424,-0.712931395,7.53219986,-3.827947617,-1.456654191,10.71078491,2
1(1)_m4a_005_begin_29.88_end_45.795.wav,0.68283999,0.003063882,426.2848605,938.1366882,666.7602539,0.018694196,-674.4051514,180.7396088,34.6713829,41.85970688,21.73860741,20.90823746,-0.246255323,20.62169075,14.56902409,1.305331588,-1.024172544,9.158549309,13.31951046,-2.847298145,1.445956111,2.681727171,7.66149044,-2.799674511,-0.151444301,6.350426197,2
1(1)_m4a_006_begin_45.795_end_49.480000000000004.wav,0.681581914,0.00338478,442.946891,924.296606,672.6189631,0.01439098,-645.1212158,186.5656891,16.66482544,42.16096878,20.38123894,13.44466019,10.27666569,20.76926422,11.50615692,-1.236502886,0.433946669,8.049777031,10.89037228,1.027558804,1.257870317,3.096186161,9.809825897,-3.718114614,-5.469899654,10.12609005,2
1(1)_m4a_007_begin_49.480000000000004_end_59.095000000000006.wav,0.673480213,0.003094839,352.6510554,844.670884,482.6722226,0.01388705,-688.4885254,183.8927917,44.09919739,43.94591141,15.79094601,19.31866837,11.04591751,18.63109398,8.022724152,1.864827514,4.548885822,5.462470531,8.717692375,3.091222286,3.554821968,0.42886284,6.230924129,-0.275144994,-0.475823581,5.615628719,2
1(1)_m4a_008_1_begin_63.47500000000001_end_68.69500000000001.wav,0.655033648,0.003451278,319.3612269,826.9586188,415.3553009,0.0105896,-697.5021362,180.6353149,54.25548553,43.61847687,16.77264595,24.70595741,12.02845097,14.66158104,7.558288574,5.311741829,7.48032093,8.150826454,8.400445938,0.709217846,3.676213026,-0.830622852,4.963014603,1.738441944,-0.330946863,3.754422665,2
1(1)_m4a_008_2_begin_68.69500000000001_end_70.72000000000001.wav,0.654192626,0.003743276,366.3272747,865.4126006,538.6773879,0.00758411,-667.2467041,183.4233398,44.92519379,43.0981369,12.92161465,18.308321,12.71339512,13.54446983,9.227982521,3.650106668,6.221746922,8.203390121,8.053706169,3.248902559,4.347414494,-1.083458781,4.766460896,4.737475872,0.366572678,2.201589346,2
1(1)_m4a_008_3_begin_70.72000000000001_end_72.02500000000002.wav,0.713686287,0.003333261,387.6163215,898.1468841,475.808234,0.007435581,-663.152771,183.2414093,35.15589523,51.48979568,9.861151695,24.27675247,15.38956833,11.79645824,5.169373512,0.000785677,4.966750145,5.691589355,6.534873962,0.759088218,2.979239941,-2.698445082,4.734594345,2.815621376,0.366015583,4.785342216,2
1(1)_m4a_008_4_begin_72.02500000000002_end_75.43000000000002.wav,0.653052509,0.003454355,319.8746538,794.8686962,397.8347528,0.011046363,-687.9414673,188.1966248,52.33997345,42.23801041,13.28718376,21.6203537,13.54485416,15.49160671,6.521125317,2.773944139,6.254763603,6.794879436,7.020543098,0.892889142,2.957287073,-1.408668518,4.419818401,2.669225216,0.935957789,3.20647788,2
1(1)_m4a_008_5_begin_75.43000000000002_end_87.07000000000002.wav,0.680235088,0.003421281,536.9457133,990.3170083,909.0600586,0.015673828,-670.2010498,164.6573334,50.21947479,44.52044678,14.87788296,22.73716164,13.85607338,17.56673622,7.015986443,5.403617859,3.78767705,5.699782372,7.146837234,1.426511407,4.460739136,-1.913707495,4.472783566,2.207661867,3.010784149,2.594381571,2
1(1)_m4a_008_6_begin_87.07000000000002_end_87.52000000000002.wav,0.695787311,0.003270947,448.1511226,966.3487954,704.6740723,0.007836914,-648.5648193,194.2794495,27.3631382,27.61098671,-2.89955163,22.99916458,20.34789658,18.12766075,5.981366634,2.082597494,8.21608448,7.018930912,2.033491611,-0.160441592,9.167797089,1.127482772,3.819223881,0.511942029,-1.386844635,0.26727587,2
1(1)_m4a_008_begin_59.095000000000006_end_63.47500000000001.wav,0.669401586,0.003326836,373.2902945,892.7835287,515.4265803,0.010369318,-678.5847168,177.2606964,44.26800156,49.88069916,20.61303711,16.12318802,11.51393795,13.35332966,4.374861717,6.366960526,8.151459694,6.039977074,7.408113003,1.848391891,2.501493216,-2.659615993,4.086771965,2.968805552,1.340142012,4.304927826,2
10(1)_m4a_000_begin_0_end_0.36.wav,0.556973517,0.001229645,2375.542129,2112.911462,5060.975647,0.136383057,-580.7373047,119.3201752,-40.98407745,92.63028717,-40.94075012,43.75249481,-5.766561508,10.39616108,1.191838026,7.023563385,14.52620125,-19.81080437,24.18383598,-9.239253044,10.30182266,3.451230288,0.729779005,3.966615677,-12.34943104,7.196226597,2
10(1)_m4a_001_1_begin_0.945_end_1.5.wav,0.674091697,0.000569119,2271.278741,2048.342233,4812.22229,0.153096517,-628.0014038,139.3246918,-48.65193558,87.41104889,-55.3760376,38.80529404,-12.85174561,12.88190174,-2.366414785,6.520239353,7.7702775,-25.55806541,19.74072266,-14.12014294,6.358507156,-4.789692402,-0.303352147,0.498734683,-11.95910263,3.506659508,2
10(1)_m4a_001_begin_0.36_end_0.945.wav,0.612929344,0.000492844,2430.637026,1997.243142,4789.481295,0.162541316,-625.1967163,129.8540497,-58.71260834,92.20331573,-51.00728989,36.00237656,-14.7057333,11.95223808,-7.245630264,3.114663363,7.201323509,-25.89948463,19.59902382,-10.12139702,8.294530869,-6.745100975,-1.263975382,1.299239278,-13.79035091,0.72725898,2
10(1)_m4a_003_begin_1.5_end_1.965.wav,0.662336051,0.001637696,2188.074067,2123.414975,4930.59082,0.131370908,-568.1455688,120.6965561,-41.10431671,89.82523346,-34.15826797,42.62802124,-1.620791435,15.17765999,5.630988121,3.596936226,15.28143024,-22.77893257,22.32733727,-6.707199097,4.525252342,-1.109533429,-4.399271488,4.945179462,-12.91340446,6.445923805,2
10(1)_m4a_004_begin_1.965_end_3.475.wav,0.613840342,0.000470129,2187.323723,1936.371774,4462.158203,0.160011574,-642.4057617,136.438858,-51.14811707,84.12139893,-44.63256454,37.71456528,-16.88792419,15.18037701,-8.234043121,4.477132797,5.045948505,-22.48644829,17.33155632,-9.357526779,6.962199688,-9.415981293,1.389711976,-2.625144482,-7.06400156,-0.301315993,2
10(1)_m4a_005_1_begin_3.595_end_3.8800000000000003.wav,0.664728582,0.000659987,2854.279656,2040.072011,5393.239183,0.214393029,-578.7719116,115.0819168,-68.90622711,95.24217987,-49.22127151,43.59131241,-20.68014717,8.334433556,-5.542930603,-3.859375,11.3833704,-28.7172966,18.83288956,-6.011022091,7.551505566,-7.186808109,-4.759050369,1.339071393,-14.00407314,0.369043708,2
10(1)_m4a_005_begin_3.475_end_3.595.wav,0.533644259,0.000753913,824.8241706,1365.063578,1537.82959,0.017985026,-698.0723267,179.7711639,-13.69423199,59.6257019,-20.32318115,32.86237717,-3.79744029,17.71650696,-2.291859865,2.320898771,5.700992107,-3.621953964,7.564044476,-8.020184517,9.598423958,-0.090266228,6.762435913,-3.985700846,-2.165199041,-4.652193546,2
10(1)_m4a_006_begin_3.8800000000000003_end_4.21.wav,0.56213516,0.000642953,2808.16792,2097.597334,5506.040039,0.218880208,-591.6748047,122.4131927,-58.7220993,93.56468964,-61.64614105,39.70853043,-19.05363083,10.09290981,-4.234389305,4.960397243,6.646515369,-29.84044456,23.55841255,-11.16452694,3.443120718,-7.773579121,-1.787711024,1.655549407,-10.3606205,6.230278015,2
10(1)_m4a_007_begin_4.21_end_4.75.wav,0.624250591,0.000477988,2222.498789,2017.673474,4656.106567,0.131571452,-639.6541138,133.6591492,-48.90695572,91.62566376,-47.55697632,37.33740997,-10.62243176,13.1948595,-8.49711132,1.775288582,8.226360321,-26.03992462,17.08373833,-9.341994286,5.144824505,-7.241657734,-2.613049746,0.383095741,-5.969167709,0.216499642,2
10(1)_m4a_008_begin_4.75_end_5.5.wav,0.631617427,0.00043677,1939.180248,1919.678117,4137.963867,0.116403291,-662.1469116,143.3031158,-36.12825394,74.7722168,-43.27216721,31.61222267,-13.91069984,13.6426754,-2.737715721,6.480068207,8.116184235,-16.7383728,18.87571716,-8.852336884,3.965240002,-7.632697105,1.10490346,-2.026804924,-6.580273628,3.883905172,2
10(1)_m4a_009_begin_5.5_end_6.055.wav,0.643237412,0.000575096,2438.92982,2025.280015,4986.282349,0.169698079,-606.3049927,135.3577728,-63.54335403,95.00882721,-53.10425949,42.88541794,-19.30684471,11.8359251,-6.740057468,-1.395703435,11.81746006,-27.09392738,19.3643589,-9.871944427,7.589918613,-7.232072353,-1.533280253,1.608398557,-10.27120876,1.784015656,2
